"Sector","Tax category","1975 Current prices, millions of euro","1976 Current prices, millions of euro","1977 Current prices, millions of euro","1978 Current prices, millions of euro","1979 Current prices, millions of euro","1980 Current prices, millions of euro","1981 Current prices, millions of euro","1982 Current prices, millions of euro","1983 Current prices, millions of euro","1984 Current prices, millions of euro","1985 Current prices, millions of euro","1986 Current prices, millions of euro","1987 Current prices, millions of euro","1988 Current prices, millions of euro","1989 Current prices, millions of euro","1990 Current prices, millions of euro","1991 Current prices, millions of euro","1992 Current prices, millions of euro","1993 Current prices, millions of euro","1994 Current prices, millions of euro","1995 Current prices, millions of euro","1996 Current prices, millions of euro","1997 Current prices, millions of euro","1998 Current prices, millions of euro","1999 Current prices, millions of euro","2000 Current prices, millions of euro","2001 Current prices, millions of euro","2002 Current prices, millions of euro","2003 Current prices, millions of euro","2004 Current prices, millions of euro","2005 Current prices, millions of euro","2006 Current prices, millions of euro","2007 Current prices, millions of euro","2008 Current prices, millions of euro","2009 Current prices, millions of euro","2010 Current prices, millions of euro","2011 Current prices, millions of euro","2012 Current prices, millions of euro","2013 Current prices, millions of euro","2014 Current prices, millions of euro","2015 Current prices, millions of euro","2016 Current prices, millions of euro","2017 Current prices, millions of euro","2018 Current prices, millions of euro"
"S13 General government","521306 Hunting and fishing licenses (ice fishing)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,0,0,0,0
"S13 General government","521307 Hunting and fishing licenses (island municipalities)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","521308 Hunting and fishing licenses (hunting and fishing licenses)",2,2,4,5,6,7,7,7,9,11,10,10,10,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","521309 Tax on dogs",2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,5,5,6,6,5,5,5,5,5,4,4,4,4,4,4,3,3,2,2,1,2,2,1,1,1,1,0
"S13 General government","5220 Non-recurrent taxes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,15,17,20,24,29,29,29,34,34,36,33,40,41,40,37,140,99,126,106,140
"S13 General government","522001 Registration fee of vehicles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,15,17,20,24,29,29,29,34,34,36,33,40,41,40,37,36,36,36,31,27
"S13 General government","522002 Income from auction of emission allowances",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,63,90,75,113
"S13 General government","6000 Other taxes",10,15,20,23,31,20,32,33,35,40,43,42,42,48,48,50,51,70,68,87,90,94,55,52,34,30,58,65,57,56,68,58,69,73,69,69,73,75,64,76,81,99,61,44
"S13 General government","600001 Penalties for late payments of product taxes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,4,2,2,4,3,2,-1,1,5,3,1,3,1,2,4,2,3,3,2,2,2,3,5,1,0
"S13 General government","600002 Repayments (all)",0,0,0,0,0,0,0,0,0,0,0,0,-2,-3,-2,-3,-6,-4,-3,-2,-4,-2,-1,-1,-7,-2,-1,-3,-9,-11,-3,-1,0,-1,0,-1,0,0,0,0,-2,0,0,0
"S13 General government","600003 Other tax income",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,1,13,28,0,-3,-9,-9,-2,0,2,7,5,3,4,3,3,3,2,4,3,3,3,3,4,2
"S13 General government","600004 Penalties for late payments of other production taxes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2
"S13 General government","600005 Repayments",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","600006 Penalties for late payments of direct taxes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2
"S13 General government","600007 Penalties for late payments of taxes",10,15,20,23,30,20,32,33,34,39,42,41,43,49,48,48,55,69,68,84,79,66,50,51,47,40,58,59,59,55,59,51,57,63,60,60,64,65,53,67,73,87,52,38
"S13 General government","600008 Plant-breeding levy",0,0,0,0,1,0,0,0,1,1,1,1,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","600009 Extra duty on certain textiles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","600010 Custom duties, levies on agricultural goods",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","Total",6589,8202,9041,9167,10233,11895,14196,15599,17236,20091,22813,25258,26251,32200,35694,39052,38653,37305,37280,41307,43854,46642,49794,53963,56175,62435,62356,64258,64247,66278,69230,72763,77447,79823,74103,76315,82751,85269,88688,90027,92003,95115,96985,99023
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","1000 Taxes on income, profits and capital gains",2851,3689,3847,3675,3980,4653,5802,6422,7176,8240,9304,10569,10265,12634,13897,15323,14706,13460,12592,14451,15851,18040,19068,21240,21808,26910,25462,26046,24857,25534,26459,27653,30358,31064,26505,27104,29334,29202,30797,31479,32371,32934,34404,34505
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","1100 Taxes on income, profits and capital gains of individuals",2539,3290,3485,3289,3550,4248,5225,5773,6427,7467,8521,9646,9506,11599,12656,13562,13009,12130,12368,13964,13639,15256,15325,16195,16512,19118,19627,20058,19905,20177,21211,22038,23396,24593,23011,22545,24181,24989,25998,27523,27824,28136,28277,28569
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","110001 Duty on interests",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,180,280,232,207,215,168,115,94,92,218,268,216,170,164,175,254,432,493,205,198,237,207,142,110,90,66,44
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","110002 Income tax of households",2512,3258,3452,3252,3508,4204,5172,5718,6369,7389,8451,9624,9480,11566,12623,13520,12921,11913,12088,13732,13432,15041,15157,16080,16418,19026,19409,19790,19689,20007,21047,21863,23142,24161,22518,22340,23983,24752,25791,27381,27714,28046,28211,28525
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","110003 Seamen's tax",20,24,25,26,29,30,35,35,36,44,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","110004 Tax on winnings from lottery or gambling",7,8,8,11,13,14,18,20,22,34,34,22,26,33,33,42,42,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","1200 Corporate taxes on income, profits and capital gains",312,399,362,386,430,405,577,649,749,773,783,923,759,1035,1241,1761,1697,1330,224,487,2212,2784,3743,5045,5296,7792,5835,5988,4952,5357,5248,5615,6962,6471,3494,4559,5153,4213,4799,3956,4547,4798,6127,5936
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","120001 Income tax of corporations",303,389,348,373,415,389,556,626,722,744,750,888,719,986,1187,1700,1646,1294,216,471,2138,2690,3618,4888,5180,7658,5739,5886,4866,5260,5147,5507,6839,6357,3406,4443,5022,4114,4683,3845,4429,4798,6127,5936
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","120002 Church tax of corporations",9,10,14,13,15,16,21,23,27,27,33,35,40,49,54,61,51,36,8,16,74,94,125,157,116,134,96,102,86,97,101,108,123,114,88,116,131,99,116,111,118,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","120003 Payment to equalize business fluctuations",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","2000 Social security contributions",1347,1639,1914,1847,2255,2776,3228,3385,3594,4182,5005,5479,5893,7294,8263,10012,10738,11135,11847,13107,13518,13489,13764,14711,15443,15756,16782,17038,17154,17763,18879,20276,21384,22335,22055,22648,23776,25261,25632,26011,26639,27630,27000,27645
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","2100 Social security contributions of employees and self-employed",357,417,460,399,470,546,671,698,746,994,1218,1251,1343,1483,1564,1885,1820,2818,3461,4302,4046,3942,3956,3963,4105,4185,4279,4234,4250,4356,4752,5447,5669,5653,5794,6607,6839,7587,7744,8126,8407,8867,9415,10014
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","210001 Employees employment pension contribution",38,53,69,74,80,94,153,144,143,157,179,211,243,281,344,417,465,450,1416,1476,1690,1879,2066,2284,2419,2696,2858,2975,3148,3232,3452,3589,3767,3845,3981,4318,4737,5337,5422,5785,5983,6020,6434,6804
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","210002 Employees social security contributions",319,364,391,325,390,452,518,554,603,837,1039,1040,1100,1202,1220,1468,1355,2368,2045,2826,2356,2063,1890,1679,1686,1489,1421,1259,1102,1124,1300,1858,1902,1808,1813,2289,2102,2250,2322,2341,2424,2847,2981,3210
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","2200 Employers social security contributions",990,1222,1454,1448,1785,2230,2557,2687,2848,3188,3787,4228,4550,5811,6699,8127,8918,8317,8386,8805,9472,9547,9808,10748,11338,11571,12503,12804,12904,13407,14127,14829,15715,16682,16261,16041,16937,17674,17888,17885,18232,18763,17585,17631
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","220001 Employers employment pension contributions",415,561,746,677,898,1195,1413,1399,1438,1568,1894,2146,2418,3498,4184,5622,6520,5655,5054,5364,5947,6314,6659,7310,7856,8018,8943,9543,9694,10092,10555,11167,11891,12851,12910,13068,13730,14274,14494,14603,14887,14935,14849,15384
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","220002 Employers social security contributions",575,661,708,771,887,1035,1144,1288,1410,1620,1893,2082,2132,2313,2515,2505,2398,2662,3332,3441,3525,3233,3149,3438,3482,3553,3560,3261,3210,3315,3572,3662,3824,3831,3351,2973,3207,3400,3394,3282,3345,3828,2736,2247
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","3000 Taxes on payroll and workforce",153,208,215,210,84,22,10,0,0,47,113,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","300001 Taxes on payroll and workforce",153,208,215,210,84,22,10,0,0,47,113,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","4000 Taxes on property",126,242,195,197,210,221,273,341,410,520,622,714,758,1056,1151,956,872,817,1002,1013,974,1051,1158,1290,1337,1518,1450,1541,1508,1702,1894,1839,2012,2048,1903,2087,2138,2361,2599,2719,3017,3066,3459,3349
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","4100 Recurrent taxes on immovable property",0,0,0,0,0,0,13,31,36,42,49,59,63,64,67,76,83,91,376,440,441,434,438,460,522,570,605,634,661,684,725,785,855,914,974,1169,1199,1270,1363,1512,1603,1670,1774,1813
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","410001 Tax on real-estate",0,0,0,0,0,0,13,31,36,42,49,59,63,64,67,76,83,91,376,440,441,434,438,460,522,570,605,634,661,684,725,785,855,914,974,1169,1199,1270,1363,1512,1603,1670,1774,1813
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","4200 Recurrent taxes on net wealth",32,124,54,43,40,24,28,33,40,44,48,24,24,33,25,27,21,26,40,47,35,47,52,58,86,179,127,113,99,117,129,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","4210 Recurrent taxes on net wealth of individuals",32,70,53,40,37,23,25,30,37,40,43,22,21,29,24,25,19,24,38,44,34,46,50,57,85,175,124,109,97,113,125,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","421001 Wealth tax, individual",32,70,53,40,37,23,25,30,37,40,43,22,21,29,24,25,19,24,38,44,34,46,50,57,85,175,124,109,97,113,125,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","4220 Recurrent taxes on net wealth of corporations",0,54,1,3,3,1,3,3,3,4,5,2,3,4,1,2,2,2,2,3,1,1,2,1,1,4,3,4,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","422001 Wealth tax, corporation",0,54,1,3,3,1,3,3,3,4,5,2,3,4,1,2,2,2,2,3,1,1,2,1,1,4,3,4,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","4300 Inheritance and gift tax",14,17,22,24,23,27,29,36,45,52,62,70,87,109,116,146,167,171,155,170,167,219,245,284,321,368,385,452,411,472,486,505,459,651,440,387,395,509,646,499,631,522,909,692
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","430001 Inheritance and gift tax",14,17,22,24,23,27,29,36,45,52,62,70,87,109,116,146,167,171,155,170,167,219,245,284,321,368,385,452,411,472,486,505,459,651,440,387,395,509,646,499,631,522,909,692
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","4400 Taxes on financial and capital transactions",80,101,119,130,147,170,203,241,289,382,463,561,584,850,943,707,601,529,431,356,331,351,423,488,408,401,333,342,337,429,554,549,698,483,489,531,544,582,590,708,783,874,776,844
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","440001 Transfer tax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,463,411,421,331,340,337,429,554,549,698,483,489,531,544,582,590,708,783,874,776,844
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","440002 Stamp duties",80,101,119,130,147,170,203,241,289,382,463,561,584,850,943,688,579,508,398,356,331,351,126,25,-3,-20,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","440003 Credit tax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,21,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","5000 Taxes on goods and services",2102,2409,2850,3215,3673,4203,4851,5418,6021,7062,7726,8453,9293,11168,12323,12711,12286,11823,11771,12649,13256,13815,15594,16525,17419,18091,18484,19467,20570,21097,21782,22762,23425,24098,23419,24256,27240,28186,29430,29572,29729,31223,31887,33306
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","5100 Taxes on production, sale, transfer, leasing and delivery of goods and rendering of services",2083,2369,2819,3177,3634,4159,4795,5358,5947,6972,7630,8347,9175,11063,12186,12555,12124,11668,11605,12381,12946,13451,15208,16114,16987,17651,18004,18967,20043,20401,21192,22135,22758,23397,22705,23498,26414,27362,28501,28530,28677,29990,30589,31945
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","5111 Value added taxes",1030,1121,1393,1606,1791,2062,2425,2670,2994,3722,4173,4646,5528,6507,7361,7519,7171,6579,6503,7008,7621,7996,9143,9700,10137,10869,11118,11731,12487,13010,13748,14537,15207,15658,15176,15533,17315,17987,18888,18948,18974,19694,20404,21364
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","511101 Value added taxes",1030,1121,1393,1606,1791,2062,2425,2670,2994,3722,4173,4646,5528,6507,7361,7519,7171,6579,6503,7008,7621,7996,9143,9700,10137,10869,11118,11731,12487,13010,13748,14537,15207,15658,15176,15533,17315,17987,18888,18948,18974,19694,20404,21364
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","5113 Turnover and other general taxes on goods and services",71,75,91,109,127,158,174,190,226,263,278,304,315,366,408,442,416,360,368,385,414,329,342,367,388,417,447,485,519,559,593,621,644,674,696,728,798,870,929,968,999,1016,996,998
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","511301 Tax on lottery prizes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,52,57,63,67,74,76,80,92,111,123,131,129,134,135,138,139,144,172,210,217,218,222,231,228,226
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","511302 Tax on insurance premiums",26,30,43,49,48,58,69,79,96,119,137,151,177,204,228,263,290,282,275,261,261,266,275,293,312,337,355,374,396,428,464,487,509,536,557,584,626,660,712,750,777,785,768,772
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","511303 Equalization tax",45,45,48,60,79,100,105,111,130,144,141,153,138,162,180,179,126,78,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","511304 Telecommunication tax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","5120 Taxes on specific goods and services",982,1173,1335,1462,1716,1939,2196,2498,2727,2987,3179,3397,3332,4190,4417,4594,4537,4729,4734,4988,4911,5126,5723,6047,6462,6365,6439,6751,7037,6832,6851,6977,6907,7065,6833,7237,8301,8505,8684,8614,8704,9280,9189,9583
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","5121 Excises",759,945,1103,1209,1430,1616,1835,2095,2301,2536,2737,2927,2783,3477,3604,3813,3691,3808,3888,4171,4353,4535,5080,5362,5726,5613,5672,5974,6202,5977,5965,6097,6013,6150,5888,6286,7319,7514,7511,7431,7678,8195,8002,8390
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512101 Excise duty on alcoholic beverages",206,231,236,261,315,353,392,451,497,533,540,604,651,753,773,813,768,704,653,930,1196,1183,1210,1211,1258,1239,1295,1348,1363,1030,967,994,1016,1114,1223,1279,1291,1374,1355,1381,1356,1344,1340,1475
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512102 Excise duty on energy products",205,271,329,400,431,506,540,620,621,682,750,729,538,765,770,986,1097,1223,1406,1731,2010,2071,2435,2507,2660,2583,2674,2801,2832,2904,2874,2932,2907,3162,3052,3167,3875,3956,3925,3846,4054,4407,4324,4395
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512103 Excise duty on motor cars",128,151,161,163,227,238,279,338,407,450,482,581,643,836,916,697,400,334,271,345,452,607,708,885,1029,1059,922,1023,1207,1235,1277,1304,1217,1016,687,941,1068,1006,931,916,882,959,972,995
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512104 Excise duties on soft drinks (incl tax on sweets and ice cream 2011-2016)",10,11,14,15,17,17,21,26,14,9,13,15,16,20,21,22,21,21,19,23,28,28,30,30,33,32,33,35,37,39,35,35,35,35,35,37,134,197,204,257,250,255,151,154
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512105 Excise duty on tobacco",109,144,151,162,178,206,221,265,284,293,306,326,357,478,448,473,492,550,532,514,532,506,540,564,580,561,599,604,593,598,613,619,622,627,693,655,718,749,852,788,885,983,962,1115
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512106 Excise on certain beverage packages",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,31,41,15,12,13,15,15,15,14,15,15,16,15
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512107 Oil damage levy",0,0,0,0,0,0,0,0,0,2,3,5,5,5,5,7,7,6,6,5,6,5,6,6,6,5,5,6,9,10,8,8,8,8,8,20,24,24,27,25,24,10,8,12
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512108 Oil waste levy",0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512109 Pharmacy levy",9,11,13,13,14,16,18,17,19,23,26,28,30,35,40,46,49,58,58,59,60,66,72,76,79,85,93,103,108,110,117,121,113,120,129,122,144,145,153,158,165,174,182,180
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512110 Stock-building levies on liquid fuels",21,32,20,4,4,15,27,42,39,39,41,43,44,43,44,44,42,41,40,42,40,40,48,50,49,46,48,50,50,48,49,50,50,49,45,48,46,44,45,43,43,44,43,45
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512111 Excise duty on certain food products",33,50,67,110,203,218,262,347,40,16,20,24,27,29,34,36,40,38,35,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512112 Marketing levy on agricultural products (plants)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512113 Excise duty on fertilizers (phosphorus)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512114 Price difference compensations",-31,-66,-84,-124,-217,-231,-276,-375,-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512115 Excise duty on fertilizers",0,4,11,21,20,21,21,13,16,22,31,44,24,7,11,21,49,82,87,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512116 Marketing levy on agricultural products",0,0,13,2,10,12,17,7,28,38,26,26,6,3,2,58,109,141,91,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512117 Equalization fee on agricultural products",0,3,8,8,9,8,8,9,22,23,24,23,24,24,23,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512118 Levies for price reduction on butter",1,1,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512119 Excise on oil based concentrated feed",0,0,0,1,0,1,2,3,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512120 Milk quota levy",0,0,0,0,0,0,0,0,0,0,1,4,5,4,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512121 Excise duty on confectionery",8,14,19,20,22,23,27,29,19,18,18,19,23,25,26,26,26,23,25,25,26,26,28,30,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512122 Excise duty on beer",56,64,69,84,104,109,141,156,175,190,216,244,270,330,383,419,435,429,401,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512123 Excise duty on albumen",0,0,0,0,0,0,0,0,0,0,0,33,32,35,18,30,41,46,45,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512124 Excise duty on margarine",4,5,5,17,16,18,27,31,29,22,28,41,42,47,51,55,45,54,56,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512125 Excise on feeding stuffs",0,2,7,1,0,0,3,0,13,23,29,19,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512126 Excise duty on sugar",0,4,7,11,15,18,18,19,30,19,13,26,31,33,32,34,46,45,43,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512127 Excise duty on electricity",0,13,54,37,59,65,85,95,82,131,168,91,0,0,0,0,0,0,110,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","5122 Profits of fiscal monopolies",44,59,45,71,81,86,91,109,110,117,114,124,141,198,242,202,239,253,190,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512201 Excess profits from spirits monopoly",44,59,45,71,81,86,91,109,110,117,114,124,141,198,242,202,239,253,190,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
